Generation,Cross,attempt-T,Tandem,Mating
F0,Interespecific,1,1,1
F0,Interespecific,1,0,0
F0,Interespecific,1,1,1
F0,Interespecific,2,0,0
F0,Interespecific,1,1,0
F0,Interespecific,1,1,0
F0,Interespecific,4,3,0
F0,Interespecific,1,1,1
F0,Interespecific,1,1,0
F0,Interespecific,3,1,0
F0,Interespecific,4,1,0
F0,Interespecific,2,1,0
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,1,1,1
F0,Interespecific,2,0,0
F0,Interespecific,2,0,0
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,2,1,1
F0,Interespecific,1,1,1
F0,Interespecific,3,0,0
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,0,0
F0,Interespecific,1,1,0
F0,Interespecific,1,1,0
F0,Interespecific,2,1,0
F0,Interespecific,5,3,0
F0,Interespecific,1,1,1
F0,Interespecific,3,2,0
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,4,0,0
F0,Interespecific,1,0,0
F0,Interespecific,1,1,0
F0,Interespecific,1,1,0
F0,Interespecific,5,1,0
F0,Interespecific,1,1,0
F0,Interespecific,1,1,0
F0,Interespecific,1,1,1
F0,Interespecific,1,0,0
F0,Interespecific,1,1,0
F0,Interespecific,1,1,1
F0,Interespecific,1,1,0
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,0,0
F0,Interespecific,2,2,0
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,1,1,1
F0,Interespecific,3,3,3
F0,Interespecific,1,1,1
F0,Interespecific,1,1,0
F0,Interespecific,1,1,0
F0,Interespecific,5,1,1
F0,Interespecific,1,1,1
F0,Interespecific,3,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,2,0,0
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,1,1,1
F0,Interespecific,1,1,0
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,2,1,0
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,2,1,1
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,2,0,0
F0,Interespecific,1,0,0
F0,Interespecific,3,0,0
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,1,1,1
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,1,0,0
F0,Interespecific,3,1,0
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,2,2,2
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,1,1
F0,Interespecific,1,1,0
F0,Interespecific,1,1,1
