Generation,Cross,N_clutches,clutches_with_eggs,Fertile_1,Steryl_1,Fertile_2,Steryl_2,Fertile_3,Steryl_3
F0,Heterospecific,3,3,343,5,266,12,20,0
F0,Heterospecific,3,3,0,19,0,9,0,5
F0,Heterospecific,3,3,388,2,9,1,138,0
F0,Heterospecific,3,3,6,0,10,1,81,2
F0,Heterospecific,3,3,0,7,0,16,0,5
F0,Heterospecific,3,3,0,23,0,16,0,11
F0,Heterospecific,3,3,101,3,104,2,227,3
F0,Heterospecific,3,3,152,22,187,39,207,55
F0,Heterospecific,3,2,101,9,192,22,0,0
F0,Heterospecific,3,3,131,1,103,2,126,2
F0,Heterospecific,3,3,65,197,55,124,87,51
F0,Heterospecific,3,3,0,3,18,23,5,37
F0,Heterospecific,3,3,2,24,9,4,26,15
F0,Heterospecific,3,3,5,,1,27,48,35
F0,Heterospecific,3,3,5,36,22,30,26,41
F0,Heterospecific,3,1,1,18,NA,NA,NA,NA
F0,Heterospecific,3,3,447,17,18,31,1,1
F0,Heterospecific,3,3,542,48,10,28,45,23
F0,Heterospecific,3,3,434,26,14,24,42,46
F0,Heterospecific,3,3,81,5,13,50,40,7
F0,Heterospecific,3,3,70,27,6,11,23,32
F0,Heterospecific,3,3,714,18,19,21,43,9
F0,Heterospecific,3,3,448,5,34,29,41,35
F0,Heterospecific,1,0,0,NA,NA,NA,NA,NA
F0,Heterospecific,3,0,0,NA,NA,NA,NA,NA
F0,Heterospecific,3,3,304,47,46,45,33,24
F0,Heterospecific,3,3,264,14,19,33,39,43
F0,Heterospecific,2,2,103,7,12,87,NA,NA
F0,Heterospecific,3,3,362,28,18,4,9,32
F0,Heterospecific,3,3,482,7,47,40,42,14
F0,Heterospecific,3,3,267,32,25,41,46,1
F0,Heterospecific,3,3,443,4,11,15,14,48
F0,Heterospecific,3,3,562,6,20,13,8,40
F0,Heterospecific,3,1,1,9,0,0,0,0
F0,Heterospecific,3,3,126,43,26,49,14,39
F0,Heterospecific,3,3,452,28,20,17,28,4
