Generation,Cross,attempt-T,Tandem,Mating
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,0,0
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,0
F1,Backcross,1,1,1
F1,Backcross,1,0,0
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,0,0
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,0
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,1
F1,Backcross,1,1,0
F1,Backcross,2,0,0
F1,Backcross,3,0,0
