Generation,Cross,N_clutches,clutches_with_eggs,Fertile_1,Steryl_1,Fertile_2,Steryl_2,Fertile_3,Steryl_3
F1,Backcross,1,1,275,12,NA,NA,NA,NA
F1,Backcross,3,3,96,1,33,9,13,8
F1,Backcross,2,2,13,122,94,134,NA,NA
F1,Backcross,3,1,125,87,NA,NA,NA,NA
F1,Backcross,3,3,14,20,12,34,45,40
F1,Backcross,3,0,0,NA,NA,NA,NA,NA
F1,Backcross,3,3,577,13,15,40,38,24
F1,Backcross,3,3,275,39,31,12,23,24
F1,Backcross,3,3,180,16,21,17,3,4
F1,Backcross,3,2,0,125,84,126,0,0
F1,Backcross,3,3,5,29,18,42,15,7
F1,Backcross,3,2,259,74,130,108,0,0
F1,Backcross,2,2,178,101,132,112,NA,NA
F1,Backcross,3,3,399,,21,26,2,20
F1,Backcross,3,3,185,23,20,39,34,6
F1,Backcross,3,2,0,122,147,33,0,0
F1,Backcross,3,2,183,50,118,95,0,0
F1,Backcross,3,3,7,47,38,5,13,18
F1,Backcross,3,2,3,58,96,22,0,0
F1,Backcross,3,3,437,25,17,5,14,48
F1,Backcross,3,3,650,30,50,34,30,24
F1,Backcross,3,2,235,88,29,87,0,0
F1,Backcross,3,1,110,12,NA,NA,NA,NA
F1,Backcross,3,3,8,2,47,45,12,4
F1,Backcross,2,1,47,0,NA,NA,NA,NA
F1,Backcross,3,1,0,0,0,0,0,5
F1,Backcross,3,2,0,39,41,126,0,0
F1,Backcross,3,2,0,148,66,2,0,0
F1,Backcross,3,2,271,148,27,35,0,0
F1,Backcross,3,2,281,89,97,72,0,0
F1,Backcross,3,2,569,95,8,4,0,0
F1,Backcross,3,3,1,7,11,39,25,32
F1,Backcross,3,2,0,3,108,132,0,0
F1,Backcross,3,2,446,131,4,64,0,0
F1,Backcross,3,2,296,54,98,106,0,0
F1,Backcross,2,2,5,150,15,132,NA,NA
F1,Backcross,3,0,0,NA,NA,NA,NA,NA
F1,Backcross,2,0,0,NA,NA,NA,NA,NA
F1,Backcross,3,1,0,0,116,25,0,0
F1,Backcross,2,1,0,0,1,34,0,0
